Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,02/01/2018,CFADRES33519327,REDACTED UNDER DP ACT,1026.16,AUTUMN HOUSE NURSING HOME,335844,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519331,REDACTED UNDER DP ACT,1725.94,AVERY LODGE LTD,338733,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518925,REDACTED UNDER DP ACT,6779.18,BARCHESTER HEALTHCARE (LONDON),90416,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518924,REDACTED UNDER DP ACT,19103.38,BARCHESTER HEALTHCARE (LONDON),90416,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519032,REDACTED UNDER DP ACT,1576,BARCHESTER HEALTHCARE HOMES LTD,120691,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519157,REDACTED UNDER DP ACT,1026.22,BARHAM HOUSE NURSING HOME,214737,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518857,REDACTED UNDER DP ACT,18475.94,BARN PARK RESIDENTIAL HOME,89354,155313724,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518915,REDACTED UNDER DP ACT,16684.1,BAXENDALE AM/MRS NB TA AMELIA HS,90280,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518966,REDACTED UNDER DP ACT,17761.68,BEACON HOUSE,90958,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519282,REDACTED UNDER DP ACT,1477.06,BEAUFORT GRANGE,320553,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518836,REDACTED UNDER DP ACT,17447.45,BEECH HOUSE(EXETER)LTD,89053,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519171,REDACTED UNDER DP ACT,1357.86,BEECH LAWN NURSING & RES HOME,226788,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519079,REDACTED UNDER DP ACT,963.86,BEECHCROFT CARE HOME,159338,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519114,REDACTED UNDER DP ACT,2218.43,BEECHMOUNT RESIDENTIAL HOME LTD,180408,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519274,REDACTED UNDER DP ACT,1126.02,BELMONT CASTLE CARE HOME,316300,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519291,REDACTED UNDER DP ACT,15286,BELMONT GRANGE LTD,323826,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519296,REDACTED UNDER DP ACT,957.46,BENNETT HOUSE,325821,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518956,REDACTED UNDER DP ACT,13737.85,BIDNA HOUSE,90844,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518889,REDACTED UNDER DP ACT,28535.3,BINDON CARE LTD,89979,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518997,REDACTED UNDER DP ACT,18941.95,BLACKDOWN CARE LTD,103188,,Adult Care & Health,Care Respite - Private (3rd),5703,B
18,Devon County Council,02/01/2018,CFADRES17803451,REDACTED UNDER DP ACT,-4514,BLACKDOWN CARE LTD,103188,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518897,REDACTED UNDER DP ACT,9964.78,BLISS PT T/A OPTIMA CARE PTNSHP,90061,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518926,REDACTED UNDER DP ACT,16544.72,BOLEALLER HOUSE LTD,90433,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519294,REDACTED UNDER DP ACT,920,BOROUGH CARE LTD,325427,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519159,REDACTED UNDER DP ACT,7929.96,BRACKEN TOR HOUSE,215900,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519342,REDACTED UNDER DP ACT,2812.54,BRAEMAR HOUSE CARE LIMITED,341354,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518858,REDACTED UNDER DP ACT,5538,BRANDON RESIDENTIAL CARE HOME,89375,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518882,REDACTED UNDER DP ACT,3857.44,BRAUNTON (WRAFTON ROAD) LTD,89852,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519302,REDACTED UNDER DP ACT,780,BRIDGE HOUSE NURSING HOME,327548,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518894,REDACTED UNDER DP ACT,1191.42,BROADPARK HOUSE,90047,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518871,REDACTED UNDER DP ACT,16914.06,BRONTE RESIDENTIAL CARE HOME,89647,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519308,REDACTED UNDER DP ACT,1756.48,BRUNEL HOUSE CARE HOME,329665,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518991,REDACTED UNDER DP ACT,1850.24,BUPA CARE HOMES LTD,102126,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519085,REDACTED UNDER DP ACT,3476.66,BURLINGTON CARE & SUPPORT SERVS,160108,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519119,REDACTED UNDER DP ACT,2156,BURNSIDE COURT,184516,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518806,REDACTED UNDER DP ACT,12322.9,BURROW DOWN SUPPORT SERVICES LTD,87371,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518821,REDACTED UNDER DP ACT,1665.5,BYMEAD HOUSE,88701,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518965,REDACTED UNDER DP ACT,17391.3,CADOGAN COURT NURSING HOME,90938,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519174,REDACTED UNDER DP ACT,2025,CAMBERLEY COTTAGE,229198,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519046,REDACTED UNDER DP ACT,2026,CAMELLIA HOUSE/MS SUNITA JHUGROO,134757,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519054,REDACTED UNDER DP ACT,21894.23,CAMELOT HOUSE EMI NURSING HOME,144364,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519149,REDACTED UNDER DP ACT,2590,CAMPANIA CARE HOME,204943,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519004,REDACTED UNDER DP ACT,19178.94,CAMPHILL DEVON COMMUNITY LTD,105994,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADDAY33441651,REDACTED UNDER DP ACT,783.36,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441655,REDACTED UNDER DP ACT,1159.2,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441652,REDACTED UNDER DP ACT,897.6,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441650,REDACTED UNDER DP ACT,783.36,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441654,REDACTED UNDER DP ACT,783.36,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441656,REDACTED UNDER DP ACT,1352.4,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441657,REDACTED UNDER DP ACT,1370.88,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441658,REDACTED UNDER DP ACT,515.2,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADDAY33441653,REDACTED UNDER DP ACT,783.36,CARASTON HALL SUPPORT LTD/CLIENT,290047,806783312,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADRES33519039,REDACTED UNDER DP ACT,1100,CARE SOUTH,130743,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519100,REDACTED UNDER DP ACT,1118,CARL COURT RESIDENTIAL HOME,170449,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519276,REDACTED UNDER DP ACT,1211.14,CASA MIA CARE HOME,316724,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518909,REDACTED UNDER DP ACT,16960.26,CASH DE,90200,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519166,REDACTED UNDER DP ACT,14611.38,CASTLE HOUSE NURSING HOME,220448,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518928,REDACTED UNDER DP ACT,2978.69,CASTLE ROAD RENT A/C,90446,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519203,REDACTED UNDER DP ACT,1906,CATHERINE HOUSE,251903,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519337,REDACTED UNDER DP ACT,1183.5,CATHERINE HOUSE GEN NURSING HOME,340230,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519178,REDACTED UNDER DP ACT,2176,CEDAR COURT CARE HOMES,231133,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519015,REDACTED UNDER DP ACT,1050,CEDAR LODGE,112709,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519158,REDACTED UNDER DP ACT,1400,CHACOMBE PARK,215403,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519030,REDACTED UNDER DP ACT,1126.44,CHAPTER 1 CHARITY LTD (SP PMTS),120564,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519101,REDACTED UNDER DP ACT,25026,CHELFHAM HOUSE RESIDENTIAL HOME,170833,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518873,REDACTED UNDER DP ACT,17672.76,CHEVERELLS CARE HOME,89678,945641015,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519272,REDACTED UNDER DP ACT,2236,CHOICE CARE HOME,315636,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518789,REDACTED UNDER DP ACT,10915.06,CHOLLACOTT HOUSE NURSING HOME,64045,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519150,REDACTED UNDER DP ACT,942,CLANN HOUSE,205575,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519356,REDACTED UNDER DP ACT,2162,COLEBROOK MANOR,342999,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519358,REDACTED UNDER DP ACT,4384,CONSENSUS SUPPORT SERVICES LTD,344538,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519376,REDACTED UNDER DP ACT,942,COOL RUNNINGS RESIDENTIAL HOME,348468,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518811,REDACTED UNDER DP ACT,14335.78,COOMBESWOOD HOUSE,87540,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518819,REDACTED UNDER DP ACT,6930.36,COURT HOUSE RESIDENTIAL HOME,88684,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519026,REDACTED UNDER DP ACT,7863.74,COURT RETIREMENT RESIDENCE,119163,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518962,REDACTED UNDER DP ACT,13673.36,CRANFORD NURSING HOME,90893,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,ACHMH17600279,ND/JUNE/JULY 15,-543.69,CREDITON CARE & SUPPORT HOMES LT,90198,,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/01/2018,CFADRES33519234,REDACTED UNDER DP ACT,11527.02,CRELAKE CARE LTD T/A CRELAKE HSE,292598,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519201,REDACTED UNDER DP ACT,9711.57,CROFT LODGE (IN ADMINISTRATION),250761,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518796,REDACTED UNDER DP ACT,1138,CROSS PARK HOUSE,86782,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519024,REDACTED UNDER DP ACT,3158.8,CULM VALLEY CARE CENTRE,118328,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519023,REDACTED UNDER DP ACT,25104.8,CULM VALLEY CARE CENTRE,118328,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519204,REDACTED UNDER DP ACT,3800,DAIRY HOUSE THE,253004,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518845,REDACTED UNDER DP ACT,1250.7,DAWN RESIDENTIAL CARE HOME,89142,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518835,REDACTED UNDER DP ACT,6920,DAY SUSAN OLD PEOPLES HOME,89018,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519375,REDACTED UNDER DP ACT,1892.6,DEAN HOUSE,348024,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519298,REDACTED UNDER DP ACT,9883.2,DECORUM CARE & SUPPORT SERV LTD,326028,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519216,REDACTED UNDER DP ACT,27002.85,DEER PARK RESIDENTIAL HOME,277063,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADDOM33471473,REDACTED UNDER DP ACT,589.4,DEER PARK RESIDENTIAL HOME,277063,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES17803454,REDACTED UNDER DP ACT,-562.28,DEER PARK RESIDENTIAL HOME,277063,,Adult Care & Health,Residential Income,9365,B
18,Devon County Council,02/01/2018,CFADRES33519223,REDACTED UNDER DP ACT,24820.84,DENE COURT RESIDENTIAL CARE HOME,282520,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519378,REDACTED UNDER DP ACT,1300,DERWENT LODGE,348814,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518830,REDACTED UNDER DP ACT,4348.9,DEVON & CORNWALL AUTISTIC COMM T,88854,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519264,REDACTED UNDER DP ACT,820,DEVONSHIRE COURT/ROYAL MASONIC,308369,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518818,REDACTED UNDER DP ACT,3528,DIAMOND CARE 2000 LTD,88681,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519231,REDACTED UNDER DP ACT,13047.08,DIAMOND CARE(2000)LD/THE CHANTRY,291234,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518859,REDACTED UNDER DP ACT,26482.68,DODGE T/A WESTCLIFFE HOUSE,89387,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518982,REDACTED UNDER DP ACT,6019.86,DONERAILE RESIDENTIAL CARE HOME,98052,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519076,REDACTED UNDER DP ACT,18134.96,DONNINGTON HOUSE,156587,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518989,REDACTED UNDER DP ACT,5655.42,DOVELEIGH CARE LTD T/A DOVE CRT,101741,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518999,REDACTED UNDER DP ACT,1096,DRAKE NURSING HOME,104889,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518981,REDACTED UNDER DP ACT,14400.8,DUNMORE RESIDENTIAL CARE HOME,98047,135573116,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519379,REDACTED UNDER DP ACT,990.72,DUNNIWOOD LODGE CARE HOME,349065,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519068,REDACTED UNDER DP ACT,2042,DURNSFORD LODGE RESIDENTIAL HOME,155801,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518879,REDACTED UNDER DP ACT,15187.08,EASTLEIGH CARE HOMES,89795,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519229,REDACTED UNDER DP ACT,13665.66,EASTLEIGH CARE HOMES LTD(NRSNG),287822,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519270,REDACTED UNDER DP ACT,1500,EASTLEIGH CARE HOMES-MINEHEAD LT,314701,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33519239,REDACTED UNDER DP ACT,10272.2,EASY LIVING CARE LTD,295301,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/01/2018,CFADRES33518880,REDACTED UNDER DP ACT,13531.72,EBBERLEY HOUSE,89798,240319343,Adult Care & Health,Care Spot - Private (3rd),5701,B
